序号,开课学期,课程编号,课程名称,成绩,学分,总学时,考核方式,课程属性,课程性质,通选课分类,绩点
1,2021-2022-1,GW20021,高等数学（1）,90,6,96,考试,必修,通识课程,,4.0
2,2021-2022-1,GW30030,中国近现代史纲要,89,3,48,考试,必修,通识课程,,3.7
3,2021-2022-1,GW41010,军训与军事理论,94,2,32,考试,必修,通识课程,,4.0
4,2021-2022-1,GW42001,体育（1）,85,1,32,考试,必修,通识课程,,3.7
5,2021-2022-1,GW50005,综合英语（5）,83,4,64,考试,必修,通识课程,,3.3
6,2021-2022-1,GW50021,学术英语（1）,83,2,32,考试,必修,通识课程,,3.3
7,2021-2022-1,GW70020,大学生安全教育,96,0.5,8,考试,必修,通识课程,,4.0
8,2021-2022-1,GW70030,大学生心理与训练,87,1,16,考试,必修,通识课程,,3.7
9,2021-2022-1,QR20031,社会治理创新案例与故事,92,2,32,考试,任选,通识课程,社会科学,4.0
10,2021-2022-1,QR28019,近现代东亚研究,91,2,32,考试,任选,通识课程,社会科学,4.0
11,2021-2022-1,XX20010,计算机科学导论,95,2,36,考试,必修,大类课程,,4.0
12,2021-2022-1,XX20300,线性代数,94,3,54,考试,必修,大类课程,,4.0
13,2021-2022-1,XX33120,程序设计基础,90,5,80,考试,必修,大类课程,,4.0
14,2021-2022-2,GW20022,高等数学（2）,90,4,64,考试,必修,通识课程,,4.0
15,2021-2022-2,GW30010,马克思主义基本原理,90,3,48,考试,必修,通识课程,,4.0
16,2021-2022-2,GW30040,思想道德修养与法律基础,82,3,48,考试,必修,通识课程,,3.3
17,2021-2022-2,GW30061,社会实践（网络教学）,92,0.5,0,考试,必修,通识课程,,4.0
18,2021-2022-2,GW42002,体育（2）,88,1,32,考试,必修,通识课程,,3.7
19,2021-2022-2,GW50006,综合英语（6）,85,4,64,考试,必修,通识课程,,3.7
20,2021-2022-2,GW50022,学术英语（2）,82,2,32,考试,必修,通识课程,,3.3
21,2021-2022-2,GW70010,创新创业基础,98,1,16,考试,必修,通识课程,,4.0
22,2021-2022-2,GW70040,大学生职业生涯发展与就业指导,93,0.5,8,考试,必修,通识课程,,4.0
23,2021-2022-2,QR19012,Photoshop图像处理,84,2,36,考试,任选,通识课程,自然科学,3.3
24,2021-2022-2,XX20070,数据结构,84,4,72,考试,必修,大类课程,,3.3
25,2021-2022-2,XX20400,离散数学,90,3,48,考试,必修,大类课程,,4.0
26,2021-2022-2,XX20410,电路与电子技术,85,5,80,考试,必修,大类课程,,3.7
27,2021-2022-2,XX32851,学期综合实践（1）,80,0.5,0,考试,必修,大类课程,,3.0
28,2022-2023-1,GW30090,毛泽东思想和中国特色社会主义理论体系概论,82,3,48,考试,必修,通识课程,,3.3
29,2022-2023-1,GW30100,习近平新时代中国特色社会主义思想概论,84,3,48,考试,必修,通识课程,,3.3
30,2022-2023-1,GW42003,体育（3）,87,1,32,考试,必修,通识课程,,3.7
31,2022-2023-1,GW50030,英语国家文化,74,2,32,考试,必修,通识课程,,2.3
32,2022-2023-1,GW50050,笔译,85,2,32,考试,必修,通识课程,,3.7
33,2022-2023-1,QR27012,歌剧音乐剧欣赏,88,2,36,考试,任选,通识课程,人文科学（艺术审美课程）,3.7
34,2022-2023-1,XX30060,操作系统,78,4,64,考试,限选,专业课程,,3.0
35,2022-2023-1,XX32170,计算机系统组成,90,4,64,考试,限选,专业课程,,4.0
36,2022-2023-1,XX32852,学期综合实践（2）,61,0.5,0,考试,必修,专业课程,,1.0
37,2022-2023-1,XX32890,面向对象程序设计,89,4,64,考试,限选,专业课程,,3.7
38,2022-2023-1,XX33130,算法设计与分析,90,3,48,考试,限选,专业课程,,4.0
39,2022-2023-2,GW42004,体育（4）,78,1,32,考试,必修,通识课程,,3.0
40,2022-2023-2,GW50040,英语文学,86,2,32,考试,必修,通识课程,,3.7
41,2022-2023-2,GW50060,口译,81,2,32,考试,必修,通识课程,,3.0
42,2022-2023-2,XX30040,计算机网络,90,4,64,考试,限选,专业课程,,4.0
43,2022-2023-2,XX31000,概率论与数理统计,94,3,48,考试,限选,专业课程,,4.0
44,2022-2023-2,XX31060,软件工程,86,3,48,考试,限选,专业课程,,3.7
45,2022-2023-2,XX32180,数据库系统原理,86,4,64,考试,限选,专业课程,,3.7
46,2022-2023-2,XX32190,操作系统实践,80,2,32,考试,选修,专业课程,,3.0
47,2022-2023-2,XX32853,学期综合实践（3）,93,0.5,0,考试,必修,专业课程,,4.0
48,2022-2023-2,XX33010,Web开发技术,90,3,48,考查,选修,专业课程,,4.0
49,2023-2024-1,GW30050,形势与政策,92,1,16,考试,必修,通识课程,,4.0
50,2023-2024-1,GW30062,社会实践（课外教学）,91,0.5,0,考试,必修,通识课程,,4.0
51,2023-2024-1,GW50171,高级计算机英语（1）,82,2,32,考试,必修,通识课程,,3.3
52,2023-2024-1,XX31480,自然语言处理,92,3,48,考查,选修,专业课程,,4.0
53,2023-2024-1,XX32100,互联网程序设计,100,3,48,考试,选修,专业课程,,4.0
54,2023-2024-1,XX32700,大数据处理技术,92,3,48,考查,选修,专业课程,,4.0
55,2023-2024-1,XX32854,学期综合实践（4）,84,0.5,0,考试,必修,专业课程,,3.3
56,2023-2024-1,XX33000,非关系型数据库技术,89,2,32,考试,选修,专业课程,,3.7
57,2023-2024-1,XX33030,软件质量保证与测试,89,2,32,考查,选修,专业课程,,3.7
